Title,Company,Experience,Location,Tags,Ratings,Reviews,Salary,Job_Type,Posted,Min_Exp_Needed,Max_Exp_Needed,Min_Salary,Max_Salary,Avg_Sal
Machine Learning,Wipro Limited,5-10 Yrs,"Hyderabad, Pune, Bengaluru","NLP,Machine Learning,Python,communication,CRF,IBM Watson,Azure ML,Agile",3.8,12612.0,,HOT JOB,1 ,5,10,,,
"Fresher / Intern Jobs in Machine Learning Project, 2020 Passout Can al",Creative Hands HR Consultancy,0-0 Yrs,"Hyderabad, Ahmedabad, Chennai, Jaipur, Bengaluru, Delhi","excel,Communication Skills,intern,freshers,Artificial Intelligence,2020 passout,trainee,Machine Learning",,,"3,00,000 - 4,00,000",HOT JOB,1 ,0,0,300000.0,400000.0,350000.0
"Senior Software Engineer, Machine Learning",Uber,2-5 Yrs,Bengaluru,"deep learning,Software design,Publishing,Machine learning,SCALA,Architectural design,Data mining,Software implementation",3.9,367.0,,PREMIUM,4 ,2,5,,,
Data Scientist with Machine Learning Job,Adecco India Private Limited,5-10 Yrs,"Hyderabad, Pune, Chennai, Bengaluru","IT Skills,Python,Data Science,Machine Learning,Big Data,Associate Data Scientist,Data Scientist,Senior Data Scientist",,,"11,00,000 - 20,00,000",HOT JOB,1 ,5,10,1100000.0,2000000.0,1550000.0
Python/Data Scientist /AWS /Machine Learning/Java/.net/ Testing / Web,SECRET TECHNOLOGIES,0-4 Yrs,"Pune, Mumbai ","IT Skills,Java,Python,PHP,Testing,Machine Learning,AWS,UX",,,"2,25,000 - 7,00,000",HOT JOB,0 ,0,4,225000.0,700000.0,462500.0
Machine Learning Engineer,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED,3-8 Yrs,"Hyderabad, Chennai, Bengaluru","IT Skills,Project Management,BPO,project management,Artificial Intelligence,Machine Learning",,,,,1 ,3,8,,,
Machine Learning Engineer,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED,3-8 Yrs,"Hyderabad, Chennai, Bengaluru","IT Skills,Project Management,BPO,project management,Artificial Intelligence,Machine Learning",,,,HOT JOB,1 ,3,8,,,
Machine Learning Application Automation Engineer,Accenture Solutions Pvt Ltd,6-8 Yrs,Bengaluru,"Machine Learning,Pytorch,scikit,C,OpenCV,Java,Python Programming,Keras",4.0,18304.0,,PREFERRED,1 ,6,8,,,
Machine Learning Application Automation Engineer,Accenture Solutions Pvt Ltd,8-10 Yrs,Bengaluru,"Computer science,Computer vision,Automation,Team management,Image processing,Consulting,Machine learning,Powerpoint",4.0,18304.0,,PREFERRED,1 ,8,10,,,
"Staff Data Scientist - Machine Learning, BigData",Juniper Networks India Pvt Ltd,7-12 Yrs,Bengaluru,"Product management,Computer science,remediation,Data analysis,Networking,data science,Coding,Machine learning",4.2,112.0,,PREMIUM,13 ,7,12,,,
"Data Scientist - Machine Learning, BigData",Juniper Networks India Pvt Ltd,5-10 Yrs,Bengaluru,"Computer science,C++,Networking,Coding,Project management,Machine learning,Data structures,Analytics",4.2,112.0,,PREMIUM,13 ,5,10,,,
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,4-6 Yrs,Bengaluru,"Machine Learning,data visualization,Amazon Web Services,SQL Data Normalization,verbal,written communication,analytical,causal modeling",4.0,18304.0,,PREFERRED,1 ,4,6,,,
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,2-4 Yrs,Bengaluru,"IT Skills,Python,Testing,Machine Learning,Cloud,Business process,Analytical skills,Linux",4.0,18304.0,,PREFERRED,1 ,2,4,,,
Technical Analyst - Machine Learning Fresher.,Utthunga Technologies Pvt Ltd,0-1 Yrs,Bengaluru,"Machine Learning,python,debugging,IT Skills,Debugging Skills",3.7,33.0,,,7 ,0,1,,,
Data Scientist - NLP/ Machine Learning,RV Matrix Software Technologies,3-8 Yrs,Anywhere,"IT Skills,Java,Python,Machine Learning,Data Science,Predictive Modeling,Tensorflow,NLP",2.9,7.0,,HOT JOB,4 ,3,8,,,
Python + Machine Learning / Data Scientist - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"Data Science,Machine Learning,Python,Scipy,NLP,Opencv,Artificial Intelligence,Natural Language Processing",3.6,2089.0,"8,00,000 - 18,00,000",HOT JOB,12 ,5,10,800000.0,1800000.0,1300000.0
Machine Learning Application Designer,Accenture Solutions Pvt Ltd,4-6 Yrs,Bengaluru,"Machine Learning,comm,Scala,verbal,No SQL,written,Java,Oracle",4.0,18304.0,,PREFERRED,1 ,4,6,,,
Machine Learning Application Designer,Accenture Solutions Pvt Ltd,6-8 Yrs,Bengaluru,"Java,written,Machine Learning,verbal,No SQL,comm,APIs,Oracle",4.0,18304.0,,PREFERRED,1 ,6,8,,,
Machine Learning Application Designer,Accenture Solutions Pvt Ltd,6-8 Yrs,Bengaluru,"Machine Learning,waterfall,Nodejs,communication,written,analytical,presentation,Unit Testing",4.0,18304.0,,PREFERRED,1 ,6,8,,,
Machine Learning Engineer Senior,"Qualcomm Technologies, Inc",1-6 Yrs,Bengaluru,"Computer science,C++,Software design,Linux,Machine learning,Debugging,Automotive,Embedded software",4.3,217.0,,,10 ,1,6,,,
Machine Learning Engineer,Data Collection Infotech (India) Private Limited,1-4 Yrs,Bengaluru,"Opencv,Machine Learning,Python,IT Skills,Java,Testing,Javascript,C++",4.1,16.0,"1,00,000 - 4,75,000",HOT JOB,8 ,1,4,100000.0,475000.0,287500.0
